N	DE	P.DE	FDR
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	0	1	1
KEGG_CITRATE_CYCLE_TCA_CYCLE	30	0	1	1
KEGG_PENTOSE_PHOSPHATE_PATHWAY	26	0	1	1
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	27	0	1	1
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	34	0	1	1
KEGG_GALACTOSE_METABOLISM	26	0	1	1
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	25	0	1	1
KEGG_FATTY_ACID_METABOLISM	42	0	1	1
KEGG_STEROID_BIOSYNTHESIS	17	0	1	1
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	16	0	1	1
KEGG_STEROID_HORMONE_BIOSYNTHESIS	55	0	1	1
KEGG_OXIDATIVE_PHOSPHORYLATION	116	0	1	1
KEGG_PURINE_METABOLISM	159	1	0.0443926500291986	1
KEGG_PYRIMIDINE_METABOLISM	98	1	0.0261764451491302	1
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	32	0	1	1
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	31	0	1	1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	34	0	1	1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	44	0	1	1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	11	0	1	1
KEGG_LYSINE_DEGRADATION	44	0	1	1
KEGG_ARGININE_AND_PROLINE_METABOLISM	54	0	1	1
KEGG_HISTIDINE_METABOLISM	29	0	1	1
KEGG_TYROSINE_METABOLISM	41	0	1	1
KEGG_PHENYLALANINE_METABOLISM	17	0	1	1
KEGG_TRYPTOPHAN_METABOLISM	39	0	1	1
KEGG_BETA_ALANINE_METABOLISM	22	0	1	1
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	10	0	1	1
KEGG_SELENOAMINO_ACID_METABOLISM	26	0	1	1
KEGG_GLUTATHIONE_METABOLISM	50	0	1	1
KEGG_STARCH_AND_SUCROSE_METABOLISM	51	0	1	1
KEGG_N_GLYCAN_BIOSYNTHESIS	46	0	1	1
KEGG_OTHER_GLYCAN_DEGRADATION	16	0	1	1
KEGG_O_GLYCAN_BIOSYNTHESIS	30	0	1	1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	44	0	1	1
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	21	0	1	1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	22	0	1	1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	14	0	1	1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	26	0	1	1
