Description	N	DE	P.DE	FDR
path:hsa00010	Glycolysis / Gluconeogenesis	66	0	1	1
path:hsa00020	Citrate cycle (TCA cycle)	30	0	1	1
path:hsa00030	Pentose phosphate pathway	29	0	1	1
path:hsa00040	Pentose and glucuronate interconversions	33	0	1	1
path:hsa00051	Fructose and mannose metabolism	33	0	1	1
path:hsa00052	Galactose metabolism	29	0	1	1
path:hsa00053	Ascorbate and aldarate metabolism	30	0	1	1
path:hsa00061	Fatty acid biosynthesis	17	0	1	1
path:hsa00062	Fatty acid elongation	27	0	1	1
path:hsa00071	Fatty acid degradation	44	0	1	1
path:hsa00072	Synthesis and degradation of ketone bodies	10	0	1	1
path:hsa00100	Steroid biosynthesis	20	0	1	1
path:hsa00120	Primary bile acid biosynthesis	17	0	1	1
path:hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	11	0	1	1
path:hsa00140	Steroid hormone biosynthesis	60	0	1	1
path:hsa00190	Oxidative phosphorylation	119	0	1	1
path:hsa00220	Arginine biosynthesis	21	0	1	1
path:hsa00230	Purine metabolism	127	1	0.036792304535524	1
path:hsa00232	Caffeine metabolism	5	0	1	1
path:hsa00240	Pyrimidine metabolism	56	1	0.0156446633492124	1
path:hsa00250	Alanine, aspartate and glutamate metabolism	37	0	1	1
path:hsa00260	Glycine, serine and threonine metabolism	39	0	1	1
path:hsa00270	Cysteine and methionine metabolism	49	0	1	1
path:hsa00280	Valine, leucine and isoleucine degradation	48	0	1	1
path:hsa00290	Valine, leucine and isoleucine biosynthesis	4	0	1	1
path:hsa00310	Lysine degradation	62	0	1	1
path:hsa00330	Arginine and proline metabolism	50	0	1	1
path:hsa00340	Histidine metabolism	22	0	1	1
path:hsa00350	Tyrosine metabolism	36	0	1	1
path:hsa00360	Phenylalanine metabolism	17	0	1	1
path:hsa00380	Tryptophan metabolism	41	0	1	1
path:hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis	6	0	1	1
path:hsa00410	beta-Alanine metabolism	30	0	1	1
path:hsa00430	Taurine and hypotaurine metabolism	11	0	1	1
path:hsa00440	Phosphonate and phosphinate metabolism	6	0	1	1
path:hsa00450	Selenocompound metabolism	17	0	1	1
path:hsa00471	D-Glutamine and D-glutamate metabolism	5	0	1	1
path:hsa00472	D-Arginine and D-ornithine metabolism	1	0	1	1
path:hsa00480	Glutathione metabolism	57	0	1	1
path:hsa00500	Starch and sucrose metabolism	34	0	1	1
path:hsa00510	N-Glycan biosynthesis	49	0	1	1
path:hsa00511	Other glycan degradation	18	0	1	1
