ONTOLOGY	TERM	N	DE	P.DE	FDR
GO:0000002	BP	mitochondrial genome maintenance	30	0	1	1
GO:0000003	BP	reproduction	1402	0	1	1
GO:0000009	MF	alpha-1,6-mannosyltransferase activity	1	0	1	1
GO:0000010	MF	trans-hexaprenyltranstransferase activity	2	0	1	1
GO:0000012	BP	single strand break repair	10	0	1	1
GO:0000014	MF	single-stranded DNA endodeoxyribonuclease activity	10	0	1	1
GO:0000015	CC	phosphopyruvate hydratase complex	3	0	1	1
GO:0000016	MF	lactase activity	1	0	1	1
GO:0000018	BP	regulation of DNA recombination	100	0	1	1
GO:0000019	BP	regulation of mitotic recombination	6	0	1	1
GO:0000022	BP	mitotic spindle elongation	9	0	1	1
GO:0000023	BP	maltose metabolic process	3	0	1	1
GO:0000026	MF	alpha-1,2-mannosyltransferase activity	3	0	1	1
GO:0000027	BP	ribosomal large subunit assembly	29	0	1	1
GO:0000028	BP	ribosomal small subunit assembly	17	0	1	1
GO:0000030	MF	mannosyltransferase activity	29	0	1	1
GO:0000032	BP	cell wall mannoprotein biosynthetic process	1	0	1	1
GO:0000033	MF	alpha-1,3-mannosyltransferase activity	3	0	1	1
GO:0000035	MF	acyl binding	2	0	1	1
GO:0000036	MF	acyl carrier activity	1	0	1	1
GO:0000038	BP	very long-chain fatty acid metabolic process	30	0	1	1
GO:0000041	BP	transition metal ion transport	111	0	1	1
GO:0000045	BP	autophagosome assembly	92	0	1	1
GO:0000048	MF	peptidyltransferase activity	4	0	1	1
GO:0000049	MF	tRNA binding	59	0	1	1
GO:0000050	BP	urea cycle	11	0	1	1
GO:0000052	BP	citrulline metabolic process	8	0	1	1
GO:0000053	BP	argininosuccinate metabolic process	1	0	1	1
GO:0000054	BP	ribosomal subunit export from nucleus	13	0	1	1
GO:0000055	BP	ribosomal large subunit export from nucleus	8	0	1	1
GO:0000056	BP	ribosomal small subunit export from nucleus	7	0	1	1
GO:0000062	MF	fatty-acyl-CoA binding	22	0	1	1
GO:0000064	MF	L-ornithine transmembrane transporter activity	5	0	1	1
GO:0000070	BP	mitotic sister chromatid segregation	151	0	1	1
GO:0000075	BP	cell cycle checkpoint	216	0	1	1
GO:0000076	BP	DNA replication checkpoint	16	0	1	1
GO:0000077	BP	DNA damage checkpoint	145	0	1	1
GO:0000079	BP	regulation of cyclin-dependent protein serine/threonine kinase activity	100	0	1	1
GO:0000082	BP	G1/S transition of mitotic cell cycle	278	0	1	1
GO:0000083	BP	regulation of transcription involved in G1/S transition of mitotic cell cycle	28	0	1	1
GO:0000086	BP	G2/M transition of mitotic cell cycle	246	0	1	1
GO:0000095	MF	S-adenosyl-L-methionine transmembrane transporter activity	1	0	1	1
GO:0000096	BP	sulfur amino acid metabolic process	42	0	1	1
GO:0000097	BP	sulfur amino acid biosynthetic process	16	0	1	1
GO:0000098	BP	sulfur amino acid catabolic process	15	0	1	1
GO:0000099	MF	sulfur amino acid transmembrane transporter activity	7	0	1	1
GO:0000101	BP	sulfur amino acid transport	7	0	1	1
GO:0000103	BP	sulfate assimilation	3	0	1	1
GO:0000104	MF	succinate dehydrogenase activity	5	0	1	1
GO:0000105	BP	histidine biosynthetic process	2	0	1	1
GO:0000109	CC	nucleotide-excision repair complex	12	0	1	1
GO:0000110	CC	nucleotide-excision repair factor 1 complex	3	0	1	1
GO:0000111	CC	nucleotide-excision repair factor 2 complex	1	0	1	1
GO:0000112	CC	nucleotide-excision repair factor 3 complex	1	0	1	1
GO:0000117	BP	regulation of transcription involved in G2/M transition of mitotic cell cycle	2	0	1	1
GO:0000118	CC	histone deacetylase complex	58	0	1	1
GO:0000120	CC	RNA polymerase I transcription factor complex	4	0	1	1
GO:0000121	MF	glycerol-1-phosphatase activity	1	0	1	1
GO:0000122	BP	negative regulation of transcription by RNA polymerase II	828	0	1	1
GO:0000123	CC	histone acetyltransferase complex	84	0	1	1
GO:0000124	CC	SAGA complex	14	0	1	1
GO:0000125	CC	PCAF complex	5	0	1	1
GO:0000126	CC	transcription factor TFIIIB complex	6	0	1	1
GO:0000127	CC	transcription factor TFIIIC complex	6	0	1	1
GO:0000132	BP	establishment of mitotic spindle orientation	29	0	1	1
GO:0000137	CC	Golgi cis cisterna	19	0	1	1
GO:0000138	CC	Golgi trans cisterna	9	0	1	1
GO:0000139	CC	Golgi membrane	733	1	0.202712127456913	1
GO:0000145	CC	exocyst	18	0	1	1
GO:0000146	MF	microfilament motor activity	22	0	1	1
GO:0000147	BP	actin cortical patch assembly	6	0	1	1
GO:0000149	MF	SNARE binding	109	0	1	1
GO:0000150	MF	recombinase activity	2	0	1	1
GO:0000151	CC	ubiquitin ligase complex	281	0	1	1
GO:0000152	CC	nuclear ubiquitin ligase complex	43	0	1	1
GO:0000153	CC	cytoplasmic ubiquitin ligase complex	16	0	1	1
GO:0000154	BP	rRNA modification	35	0	1	1
GO:0000159	CC	protein phosphatase type 2A complex	18	0	1	1
GO:0000160	BP	phosphorelay signal transduction system	1	0	1	1
GO:0000164	CC	protein phosphatase type 1 complex	10	0	1	1
GO:0000165	BP	MAPK cascade	950	0	1	1
GO:0000166	MF	nucleotide binding	2087	0	1	1
GO:0000170	MF	sphingosine hydroxylase activity	1	0	1	1
GO:0000171	MF	ribonuclease MRP activity	3	0	1	1
GO:0000172	CC	ribonuclease MRP complex	7	0	1	1
GO:0000173	BP	inactivation of MAPK activity involved in osmosensory signaling pathway	1	0	1	1
GO:0000175	MF	3'-5'-exoribonuclease activity	34	0	1	1
GO:0000176	CC	nuclear exosome (RNase complex)	17	0	1	1
GO:0000177	CC	cytoplasmic exosome (RNase complex)	14	0	1	1
GO:0000178	CC	exosome (RNase complex)	24	0	1	1
GO:0000179	MF	rRNA (adenine-N6,N6-)-dimethyltransferase activity	4	0	1	1
GO:0000182	MF	rDNA binding	10	0	1	1
GO:0000183	BP	chromatin silencing at rDNA	36	0	1	1
GO:0000184	BP	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	120	0	1	1
GO:0000185	BP	activation of MAPKKK activity	11	0	1	1
GO:0000186	BP	activation of MAPKK activity	52	0	1	1
GO:0000187	BP	activation of MAPK activity	151	0	1	1
GO:0000188	BP	inactivation of MAPK activity	27	0	1	1
GO:0000209	BP	protein polyubiquitination	308	0	1	1
GO:0000210	MF	NAD+ diphosphatase activity	1	0	1	1
GO:0000212	BP	meiotic spindle organization	13	0	1	1
GO:0000213	MF	tRNA-intron endonuclease activity	4	0	1	1
GO:0000214	CC	tRNA-intron endonuclease complex	4	0	1	1
GO:0000215	MF	tRNA 2'-phosphotransferase activity	2	0	1	1
GO:0000217	MF	DNA secondary structure binding	24	0	1	1
GO:0000220	CC	vacuolar proton-transporting V-type ATPase, V0 domain	4	0	1	1
GO:0000221	CC	vacuolar proton-transporting V-type ATPase, V1 domain	3	0	1	1
GO:0000224	MF	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	1	0	1	1
GO:0000225	MF	N-acetylglucosaminylphosphatidylinositol deacetylase activity	1	0	1	1
GO:0000226	BP	microtubule cytoskeleton organization	538	0	1	1
GO:0000228	CC	nuclear chromosome	601	0	1	1
GO:0000229	CC	cytoplasmic chromosome	2	0	1	1
GO:0000235	CC	astral microtubule	11	0	1	1
GO:0000242	CC	pericentriolar material	21	0	1	1
GO:0000243	CC	commitment complex	5	0	1	1
GO:0000244	BP	spliceosomal tri-snRNP complex assembly	16	0	1	1
GO:0000245	BP	spliceosomal complex assembly	61	0	1	1
GO:0000246	MF	delta24(24-1) sterol reductase activity	1	0	1	1
GO:0000247	MF	C-8 sterol isomerase activity	1	0	1	1
GO:0000248	MF	C-5 sterol desaturase activity	2	0	1	1
GO:0000250	MF	lanosterol synthase activity	1	0	1	1
GO:0000252	MF	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	1	0	1	1
GO:0000253	MF	3-keto sterol reductase activity	5	0	1	1
GO:0000254	MF	C-4 methylsterol oxidase activity	3	0	1	1
GO:0000255	BP	allantoin metabolic process	2	0	1	1
GO:0000256	BP	allantoin catabolic process	1	0	1	1
GO:0000257	MF	nitrilase activity	1	0	1	1
GO:0000262	CC	mitochondrial chromosome	1	0	1	1
GO:0000266	BP	mitochondrial fission	34	0	1	1
GO:0000268	MF	peroxisome targeting sequence binding	5	0	1	1
GO:0000270	BP	peptidoglycan metabolic process	6	0	1	1
GO:0000271	BP	polysaccharide biosynthetic process	77	0	1	1
GO:0000272	BP	polysaccharide catabolic process	27	0	1	1
GO:0000274	CC	mitochondrial proton-transporting ATP synthase, stator stalk	1	0	1	1
GO:0000275	CC	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	6	0	1	1
GO:0000276	CC	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	10	0	1	1
GO:0000278	BP	mitotic cell cycle	1014	0	1	1
GO:0000280	BP	nuclear division	403	0	1	1
GO:0000281	BP	mitotic cytokinesis	73	0	1	1
GO:0000285	MF	1-phosphatidylinositol-3-phosphate 5-kinase activity	1	0	1	1
GO:0000287	MF	magnesium ion binding	207	0	1	1
GO:0000288	BP	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	77	0	1	1
GO:0000289	BP	nuclear-transcribed mRNA poly(A) tail shortening	37	0	1	1
